paragraphs
"Please help us protect Glassdoor by verifying that you're a
		real person. We are sorry for the inconvenience. If you continue to see this 
		message, please emailto let us know you're having trouble."
"Aidez-nous à protéger Glassdoor en confirmant que vous êtes une personne réelle.
		Nous sommes désolés pour la gêne occasionnée. Si vous continuez à voir ce
		message, contactez-nous à l'adressepour nous faire part du problème."
"Bitte helfen Sie uns, Glassdoor zu schützen, indem Sie bestätigen, dass Sie
		ein Mensch und keine Maschine sind. Wir entschuldigen uns für die Umstände. Wenn
		Sie weiterhin diese Meldung erhalten, informieren Sie uns darüber bitte per E-Mail
		an"
"Help ons Glassdoor te beschermen door te verifiëren of u een persoon bent. Onze
		excuses voor het ongemak. Als u dit bericht blijft zien, stuur dan een e-mail
		naarom ons te informeren over dit probleem."
"Ayúdanos a proteger Glassdoor y demuéstranos que eres una persona real. Disculpa
		las molestias. Si continúas recibiendo este mensaje, infórmanos del problema
		enviando un correo electrónico a."
"Ayúdanos a proteger Glassdoor verificando que eres una persona real. Lamentamos
		los inconvenientes que esto te pueda causar. Si continúas viendo este mensaje,
		envía un correo electrónico apara informarnos de que tienes problemas."
"Ajude-nos a manter o Glassdoor seguro confirmando que você é uma pessoa de
		verdade. Lamentamos pelo inconveniente. Caso continue recebendo esta mensagem,
		envie um e-mail parapara nos informar sobre o problema."
"Aiutaci a proteggere Glassdoor dimostrando che sei una persona reale. Ci
		scusiamo se questo può causarti degli inconvenienti. Se continui a visualizzare
		questo messaggio, invia un'email all'indirizzoper informarci del problema."
